"","game_id","schedule_season","schedule_week","schedule_date","team_home_id","stadium","weather_temperature","weather_wind_mph","weather_humidity","weather_detail"
"36","19660925WASPIT",1966,"3",1966-09-25,"PIT","Pitt Stadium",53,10,80,""
"37","19660930SFLAR",1966,"4",1966-09-30,"LAR","Los Angeles Memorial Coliseum",70,9,76,""
"38","19661002ARIPHI",1966,"4",1966-10-02,"PHI","Franklin Field",50,10,74,""
"39","19661002BUFKC",1966,"5",1966-10-02,"KC","Kansas City Municipal Stadium",NA,NA,NA,""
"40","19661002CHIMIN",1966,"4",1966-10-02,"MIN","Metropolitan Stadium",50,12,62,""
"41","19661002CLENYG",1966,"4",1966-10-02,"NYG","Yankee Stadium",52,13,70,""
"42","19661002DALATL",1966,"4",1966-10-02,"ATL","Atlanta-Fulton County Stadium",53,12,63,""
"43","19661002DETGB",1966,"4",1966-10-02,"GB","Lambeau Field",49,10,63,""
"44","19661002MIALAC",1966,"5",1966-10-02,"LAC","Balboa Stadium",71,9,76,""
"45","19661002NYJNE",1966,"5",1966-10-02,"NE","Fenway Park",53,15,66,""
"46","19661002PITWAS",1966,"4",1966-10-02,"WAS","RFK Memorial Stadium",48,5,74,""
"47","19661002TENDEN",1966,"5",1966-10-02,"DEN","Mile High Stadium",63,8,31,""
"48","19661008DENKC",1966,"6",1966-10-08,"KC","Kansas City Municipal Stadium",NA,NA,NA,""
"49","19661008LACNYJ",1966,"6",1966-10-08,"NYJ","Shea Stadium",NA,NA,NA,""
"50","19661008NEBUF",1966,"6",1966-10-08,"BUF","War Memorial Stadium",NA,NA,NA,""
"51","19661008PITCLE",1966,"5",1966-10-08,"CLE","Cleveland Municipal Stadium",58,12,46,""
"52","19661009ATLWAS",1966,"5",1966-10-09,"WAS","RFK Memorial Stadium",59,4,77,""
"53","19661009GBSF",1966,"5",1966-10-09,"SF","Kezar Stadium",64,10,62,""
"54","19661009INDCHI",1966,"5",1966-10-09,"CHI","Wrigley Field",67,12,54,""
"55","19661009LARDET",1966,"5",1966-10-09,"DET","Tiger Stadium",62,12,63,""
"56","19661009MIALVR",1966,"6",1966-10-09,"LVR","Oakland Coliseum",NA,NA,NA,""
"57","19661009NYGARI",1966,"5",1966-10-09,"ARI","Busch Memorial Stadium",64,10,84,""
"58","19661009PHIDAL",1966,"5",1966-10-09,"DAL","Cotton Bowl",74,8,59,""
"59","19661016DALARI",1966,"6",1966-10-16,"ARI","Busch Memorial Stadium",44,13,74,""
"60","19661016DENMIA",1966,"7",1966-10-16,"MIA","Orange Bowl",NA,NA,NA,""
"61","19661016DETIND",1966,"6",1966-10-16,"IND","Memorial Stadium (Baltimore)",64,12,73,""
"62","19661016GBCHI",1966,"6",1966-10-16,"CHI","Wrigley Field",43,11,66,""
"63","19661016LACBUF",1966,"7",1966-10-16,"BUF","War Memorial Stadium",NA,NA,NA,""
"64","19661016LARMIN",1966,"6",1966-10-16,"MIN","Metropolitan Stadium",36,9,77,""
"65","19661016LVRKC",1966,"7",1966-10-16,"KC","Kansas City Municipal Stadium",NA,NA,NA,""
"66","19661016NYJTEN",1966,"7",1966-10-16,"TEN","Rice Stadium",NA,NA,NA,""
"67","19661016PHIPIT",1966,"6",1966-10-16,"PIT","Pitt Stadium",51,15,66,""
"68","19661016SFATL",1966,"6",1966-10-16,"ATL","Atlanta-Fulton County Stadium",66,9,76,""
"69","19661016WASNYG",1966,"6",1966-10-16,"NYG","Yankee Stadium",64,14,81,""
"70","19661023ARIWAS",1966,"7",1966-10-23,"WAS","RFK Memorial Stadium",58,6,83,""
"71","19661023ATLGB",1966,"7",1966-10-23,"GB","Lambeau Field",46,14,43,""
"72","19661023DALCLE",1966,"7",1966-10-23,"CLE","Cleveland Municipal Stadium",51,10,64,""
"73","19661023DETSF",1966,"7",1966-10-23,"SF","Kezar Stadium",60,9,72,""
"74","19661023KCDEN",1966,"8",1966-10-23,"DEN","Mile High Stadium",NA,NA,NA,""
"75","19661023LACNE",1966,"8",1966-10-23,"NE","Fenway Park",58,12,71,""
"76","19661023LARCHI",1966,"7",1966-10-23,"CHI","Wrigley Field",48,10,41,""
"77","19661023LVRNYJ",1966,"8",1966-10-23,"NYJ","Shea Stadium",NA,NA,NA,""
"78","19661023MIATEN",1966,"8",1966-10-23,"TEN","Rice Stadium",NA,NA,NA,""
"79","19661023MININD",1966,"7",1966-10-23,"IND","Memorial Stadium (Baltimore)",56,6,81,""
"80","19661023PHINYG",1966,"7",1966-10-23,"NYG","Yankee Stadium",59,10,78,""
"81","19661030BUFNYJ",1966,"9",1966-10-30,"NYJ","Shea Stadium",NA,NA,NA,""
"82","19661030CLEATL",1966,"8",1966-10-30,"ATL","Atlanta-Fulton County Stadium",58,10,62,""
