"","game_id","schedule_season","schedule_week","schedule_date","team_home_id","team_away_id","score_home","score_away","stadium_neutral","schedule_playoff"
"66","19661016NYJTEN",1966,"7",1966-10-16,"TEN","NYJ",24,0,FALSE,FALSE
"67","19661016PHIPIT",1966,"6",1966-10-16,"PIT","PHI",14,31,FALSE,FALSE
"68","19661016SFATL",1966,"6",1966-10-16,"ATL","SF",7,44,FALSE,FALSE
"69","19661016WASNYG",1966,"6",1966-10-16,"NYG","WAS",13,10,FALSE,FALSE
"70","19661023ARIWAS",1966,"7",1966-10-23,"WAS","ARI",26,20,FALSE,FALSE
"71","19661023ATLGB",1966,"7",1966-10-23,"GB","ATL",56,3,FALSE,FALSE
"72","19661023DALCLE",1966,"7",1966-10-23,"CLE","DAL",30,21,FALSE,FALSE
"73","19661023DETSF",1966,"7",1966-10-23,"SF","DET",27,24,FALSE,FALSE
"74","19661023KCDEN",1966,"8",1966-10-23,"DEN","KC",10,56,FALSE,FALSE
"75","19661023LACNE",1966,"8",1966-10-23,"NE","LAC",35,17,FALSE,FALSE
"76","19661023LARCHI",1966,"7",1966-10-23,"CHI","LAR",17,10,FALSE,FALSE
"77","19661023LVRNYJ",1966,"8",1966-10-23,"NYJ","LVR",21,24,FALSE,FALSE
"78","19661023MIATEN",1966,"8",1966-10-23,"TEN","MIA",13,20,FALSE,FALSE
"79","19661023MININD",1966,"7",1966-10-23,"IND","MIN",20,17,FALSE,FALSE
"80","19661023PHINYG",1966,"7",1966-10-23,"NYG","PHI",3,31,FALSE,FALSE
"81","19661030BUFNYJ",1966,"9",1966-10-30,"NYJ","BUF",23,33,FALSE,FALSE
"82","19661030CLEATL",1966,"8",1966-10-30,"ATL","CLE",17,49,FALSE,FALSE
"83","19661030DENLAC",1966,"9",1966-10-30,"LAC","DEN",24,17,FALSE,FALSE
"84","19661030GBDET",1966,"8",1966-10-30,"DET","GB",7,31,FALSE,FALSE
"85","19661030INDLAR",1966,"8",1966-10-30,"LAR","IND",3,17,FALSE,FALSE
"86","19661030LVRNE",1966,"9",1966-10-30,"NE","LVR",24,21,FALSE,FALSE
"87","19661030PITDAL",1966,"8",1966-10-30,"DAL","PIT",52,21,FALSE,FALSE
"88","19661030SFMIN",1966,"8",1966-10-30,"MIN","SF",28,3,FALSE,FALSE
"89","19661030TENKC",1966,"9",1966-10-30,"KC","TEN",48,23,FALSE,FALSE
"90","19661030WASPHI",1966,"8",1966-10-30,"PHI","WAS",13,27,FALSE,FALSE
"91","19661031CHIARI",1966,"8",1966-10-31,"ARI","CHI",24,17,FALSE,FALSE
"92","19661106ARINYG",1966,"9",1966-11-06,"NYG","ARI",17,20,FALSE,FALSE
"93","19661106BUFMIA",1966,"10",1966-11-06,"MIA","BUF",0,29,FALSE,FALSE
"94","19661106CLEPIT",1966,"9",1966-11-06,"PIT","CLE",16,6,FALSE,FALSE
"95","19661106DALPHI",1966,"9",1966-11-06,"PHI","DAL",24,23,FALSE,FALSE
"96","19661106DENNE",1966,"10",1966-11-06,"NE","DEN",10,17,FALSE,FALSE
"97","19661106DETCHI",1966,"9",1966-11-06,"CHI","DET",10,10,FALSE,FALSE
"98","19661106LACKC",1966,"10",1966-11-06,"KC","LAC",24,14,FALSE,FALSE
"99","19661106LARSF",1966,"9",1966-11-06,"SF","LAR",21,13,FALSE,FALSE
"100","19661106MINGB",1966,"9",1966-11-06,"GB","MIN",17,20,FALSE,FALSE
"101","19661106TENLVR",1966,"10",1966-11-06,"LVR","TEN",38,23,FALSE,FALSE
"102","19661106WASIND",1966,"9",1966-11-06,"IND","WAS",37,10,FALSE,FALSE
"103","19661113ARIPIT",1966,"10",1966-11-13,"PIT","ARI",30,9,FALSE,FALSE
"104","19661113DALWAS",1966,"10",1966-11-13,"WAS","DAL",30,31,FALSE,FALSE
"105","19661113DETMIN",1966,"10",1966-11-13,"MIN","DET",31,32,FALSE,FALSE
"106","19661113INDATL",1966,"10",1966-11-13,"ATL","IND",7,19,FALSE,FALSE
"107","19661113LVRLAC",1966,"11",1966-11-13,"LAC","LVR",19,41,FALSE,FALSE
"108","19661113MIAKC",1966,"11",1966-11-13,"KC","MIA",34,16,FALSE,FALSE
"109","19661113NYGLAR",1966,"10",1966-11-13,"LAR","NYG",55,14,FALSE,FALSE
"110","19661113NYJBUF",1966,"11",1966-11-13,"BUF","NYJ",14,3,FALSE,FALSE
"111","19661113PHICLE",1966,"10",1966-11-13,"CLE","PHI",27,7,FALSE,FALSE
"112","19661113SFCHI",1966,"10",1966-11-13,"CHI","SF",30,30,FALSE,FALSE
"113","19661113TENNE",1966,"11",1966-11-13,"NE","TEN",27,21,FALSE,FALSE
"114","19661120ATLNYG",1966,"11",1966-11-20,"NYG","ATL",16,27,FALSE,FALSE
"115","19661120BUFTEN",1966,"12",1966-11-20,"TEN","BUF",20,42,FALSE,FALSE
"116","19661120CHIGB",1966,"11",1966-11-20,"GB","CHI",13,6,FALSE,FALSE
"117","19661120DALPIT",1966,"11",1966-11-20,"PIT","DAL",7,20,FALSE,FALSE
"118","19661120INDDET",1966,"11",1966-11-20,"DET","IND",20,14,FALSE,FALSE
"119","19661120LVRDEN",1966,"12",1966-11-20,"DEN","LVR",3,17,FALSE,FALSE
"120","19661120MIANYJ",1966,"12",1966-11-20,"NYJ","MIA",30,13,FALSE,FALSE
"121","19661120MINLAR",1966,"11",1966-11-20,"LAR","MIN",21,6,FALSE,FALSE
"122","19661120NEKC",1966,"12",1966-11-20,"KC","NE",27,27,FALSE,FALSE
"123","19661120PHISF",1966,"11",1966-11-20,"SF","PHI",34,35,FALSE,FALSE
"124","19661120WASCLE",1966,"11",1966-11-20,"CLE","WAS",14,3,FALSE,FALSE
"125","19661124BUFLVR",1966,"13",1966-11-24,"LVR","BUF",10,31,FALSE,FALSE
"126","19661124CLEDAL",1966,"12",1966-11-24,"DAL","CLE",26,14,FALSE,FALSE
"127","19661124SFDET",1966,"12",1966-11-24,"DET","SF",14,41,FALSE,FALSE
"128","19661127ATLCHI",1966,"12",1966-11-27,"CHI","ATL",23,6,FALSE,FALSE
"129","19661127GBMIN",1966,"12",1966-11-27,"MIN","GB",16,28,FALSE,FALSE
"130","19661127KCNYJ",1966,"13",1966-11-27,"NYJ","KC",24,32,FALSE,FALSE
"131","19661127LACDEN",1966,"13",1966-11-27,"DEN","LAC",20,17,FALSE,FALSE
"132","19661127LARIND",1966,"12",1966-11-27,"IND","LAR",7,23,FALSE,FALSE
"133","19661127NEMIA",1966,"13",1966-11-27,"MIA","NE",14,20,FALSE,FALSE
"134","19661127NYGWAS",1966,"12",1966-11-27,"WAS","NYG",72,41,FALSE,FALSE
"135","19661127PITARI",1966,"12",1966-11-27,"ARI","PIT",6,3,FALSE,FALSE
"136","19661203NYJLVR",1966,"14",1966-12-03,"LVR","NYJ",28,28,FALSE,FALSE
"137","19661204ARIDAL",1966,"13",1966-12-04,"DAL","ARI",31,17,FALSE,FALSE
"138","19661204ATLMIN",1966,"13",1966-12-04,"MIN","ATL",13,20,FALSE,FALSE
"139","19661204BUFNE",1966,"14",1966-12-04,"NE","BUF",14,3,FALSE,FALSE
"140","19661204CHIIND",1966,"13",1966-12-04,"IND","CHI",21,16,FALSE,FALSE
"141","19661204DETLAR",1966,"13",1966-12-04,"LAR","DET",23,3,FALSE,FALSE
"142","19661204LACTEN",1966,"14",1966-12-04,"TEN","LAC",22,28,FALSE,FALSE
"143","19661204MIADEN",1966,"14",1966-12-04,"DEN","MIA",17,7,FALSE,FALSE
"144","19661204NYGCLE",1966,"13",1966-12-04,"CLE","NYG",49,40,FALSE,FALSE
