"","schedule_week","Date","Home Team","Away Team","Winner Pick","Spread Pick","Over/Under Pick"
"12219","5",2018-10-07,"PHI","MIN","PHI (74%)","PHI (-3.5)","Under (48)"
"12220","5",2018-10-07,"CAR","NYG","CAR (92%)","CAR (-7)","Over (43.5)"
"12221","5",2018-10-07,"BUF","TEN","TEN (69%)","BUF (+6)","Over (38.5)"
"12222","5",2018-10-08,"NO","WAS","NO (81%)","NO (-5.5)","Under (51.5)"
"12223","6",2018-10-11,"NYG","PHI","PHI (85%)","PHI (-1.5)","Over (45)"
"12224","6",2018-10-14,"MIN","ARI","MIN (87%)","ARI (+10)","Over (43.5)"
"12225","6",2018-10-14,"TEN","BAL","TEN (65%)","TEN (+2.5)","Over (43.5)"
"12226","6",2018-10-14,"HOU","BUF","BUF (70%)","BUF (+10.5)","Over (40.5)"
"12227","6",2018-10-14,"WAS","CAR","CAR (72%)","CAR (-1)","Over (44.5)"
"12228","6",2018-10-14,"MIA","CHI","MIA (54%)","MIA (+7.5)","Over (40.5)"
"12229","6",2018-10-14,"NYJ","IND","NYJ (70%)","NYJ (-2.5)","Over (47.5)"
"12230","6",2018-10-14,"DAL","JAX","JAX (56%)","DAL (+3)","Over (39)"
"12231","6",2018-10-14,"NE","KC","NE (52%)","KC (+3.5)","Under (59.5)"
"12232","6",2018-10-14,"CLE","LAC","LAC (87%)","LAC (+1)","Over (47)"
"12233","6",2018-10-14,"DEN","LAR","LAR (89%)","DEN (+7)","Under (50)"
"12234","6",2018-10-14,"CIN","PIT","CIN (59%)","CIN (-1.5)","Under (49.5)"
"12235","6",2018-10-14,"LVR","SEA","SEA (71%)","LVR (+3)","Over (48)"
"12236","6",2018-10-14,"ATL","TB","ATL (63%)","ATL (-3)","Under (57)"
"12237","6",2018-10-15,"GB","SF","GB (64%)","SF (+9)","Under (46.5)"
"12238","7",2018-10-18,"ARI","DEN","ARI (66%)","ARI (+1)","Over (42.5)"
"12239","7",2018-10-21,"IND","BUF","BUF (74%)","BUF (+7)","Over (43.5)"
"12240","7",2018-10-21,"PHI","CAR","PHI (67%)","CAR (+5)","Under (45)"
"12241","7",2018-10-21,"KC","CIN","KC (71%)","CIN (+6.5)","Under (56)"
"12242","7",2018-10-21,"TB","CLE","TB (85%)","TB (-3.5)","Under (52.5)"
"12243","7",2018-10-21,"WAS","DAL","WAS (57%)","WAS (+1)","Over (40.5)"
"12244","7",2018-10-21,"MIA","DET","MIA (59%)","MIA (+3)","Under (47)"
"12245","7",2018-10-21,"JAX","HOU","JAX (72%)","JAX (-3.5)","Under (42.5)"
"12246","7",2018-10-21,"SF","LAR","LAR (87%)","SF (+8)","Under (52)"
"12247","7",2018-10-21,"NYJ","MIN","MIN (81%)","MIN (-3.5)","Under (45)"
"12248","7",2018-10-21,"CHI","NE","NE (82%)","NE (-1)","Over (48.5)"
"12249","7",2018-10-21,"BAL","NO","NO (60%)","NO (+2.5)","Under (49)"
"12250","7",2018-10-21,"LAC","TEN","LAC (63%)","TEN (+6.5)","Over (46)"
"12251","7",2018-10-22,"ATL","NYG","ATL (88%)","ATL (-4)","Under (53)"
"12252","8",2018-10-25,"HOU","MIA","HOU (57%)","MIA (+7.5)","Under (45)"
"12253","8",2018-10-28,"CAR","BAL","CAR (73%)","CAR (+2.5)","Over (44)"
"12254","8",2018-10-28,"PIT","CLE","PIT (97%)","PIT (-8.5)","Over (47.5)"
"12255","8",2018-10-28,"KC","DEN","KC (92%)","KC (-8.5)","Under (53)"
"12256","8",2018-10-28,"LAR","GB","LAR (86%)","LAR (-7.5)","Under (57)"
"12257","8",2018-10-28,"LVR","IND","LVR (56%)","LVR (+3.5)","Under (51)"
"12258","8",2018-10-28,"MIN","NO","MIN (53%)","MIN (-2.5)","Under (53.5)"
"12259","8",2018-10-28,"CHI","NYJ","CHI (66%)","NYJ (+8.5)","Under (42.5)"
