"","schedule_week","schedule_date","team_home_id","team_away_id","team_winner_predicted","team_winner_ats","team_home_win_prob","team_away_win_prob","over_under_pick","score_total_predicted"
"58","5",1966-10-09,"DAL","PHI","DAL (71%)",NA,0.711787530245203,0.288212469754797,NA,41.4
"59","6",1966-10-16,"ARI","DAL","ARI (62%)",NA,0.624832644665005,0.375167355334995,"Under (NA)",40.8
"60","7",1966-10-16,"MIA","DEN","DEN (57%)",NA,0.429841897599333,0.570158102400667,NA,38.5
"61","6",1966-10-16,"IND","DET","IND (63%)",NA,0.626172733972248,0.373827266027752,NA,41
"62","6",1966-10-16,"CHI","GB","GB (53%)",NA,0.474628595593084,0.525371404406916,NA,41.7
"63","7",1966-10-16,"BUF","LAC","LAC (51%)",NA,0.485898198347836,0.514101801652164,NA,41.6
"64","6",1966-10-16,"MIN","LAR","LAR (76%)",NA,0.238652957108259,0.761347042891741,NA,38.4
"65","7",1966-10-16,"KC","LVR","KC (75%)",NA,0.745740284352632,0.254259715647368,NA,39.3
"66","7",1966-10-16,"TEN","NYJ","NYJ (75%)",NA,0.253127474556959,0.746872525443041,NA,40.3
"67","6",1966-10-16,"PIT","PHI","PHI (52%)",NA,0.476036371668315,0.523963628331685,"Under (NA)",36.4
"68","6",1966-10-16,"ATL","SF","SF (67%)",NA,0.329265683249203,0.670734316750797,NA,39.6
"69","6",1966-10-16,"NYG","WAS","WAS (71%)",NA,0.29305827945297,0.70694172054703,"Under (NA)",38.1
"70","7",1966-10-23,"WAS","ARI","ARI (68%)",NA,0.315317735327671,0.684682264672329,NA,41.9
"71","7",1966-10-23,"GB","ATL","GB (92%)",NA,0.923405248114138,0.0765947518858616,"Under (NA)",40.5
"72","7",1966-10-23,"CLE","DAL","DAL (57%)",NA,0.43262082409004,0.56737917590996,NA,38.7
"73","7",1966-10-23,"SF","DET","SF (72%)",NA,0.720175551737115,0.279824448262885,NA,40.8
"74","8",1966-10-23,"DEN","KC","KC (68%)",NA,0.324164832971989,0.675835167028011,NA,39.1
"75","8",1966-10-23,"NE","LAC","NE (54%)",NA,0.540832190905916,0.459167809094084,NA,38.4
"76","7",1966-10-23,"CHI","LAR","CHI (51%)",NA,0.511282287345923,0.488717712654077,NA,38
"77","8",1966-10-23,"NYJ","LVR","NYJ (64%)",NA,0.642130729831053,0.357869270168947,NA,41.5
"78","8",1966-10-23,"TEN","MIA","TEN (74%)",NA,0.743467861070836,0.256532138929164,NA,42.4
"79","7",1966-10-23,"IND","MIN","IND (70%)",NA,0.704504726709847,0.295495273290153,NA,37.7
"80","7",1966-10-23,"NYG","PHI","PHI (54%)",NA,0.463379258527599,0.536620741472401,NA,43
"81","9",1966-10-30,"NYJ","BUF","NYJ (57%)",NA,0.565988452959323,0.434011547040677,NA,47.5
"82","8",1966-10-30,"ATL","CLE","CLE (83%)",NA,0.165457668556959,0.834542331443041,NA,43.1
"83","9",1966-10-30,"LAC","DEN","LAC (82%)",NA,0.821937594632536,0.178062405367464,NA,43.9
"84","8",1966-10-30,"DET","GB","GB (78%)",NA,0.220428634163626,0.779571365836374,NA,52
"85","8",1966-10-30,"LAR","IND","IND (56%)",NA,0.438188551900263,0.561811448099737,NA,51.8
"86","9",1966-10-30,"NE","LVR","NE (60%)",NA,0.600467919509348,0.399532080490652,"Under (NA)",46.7
"87","8",1966-10-30,"DAL","PIT","DAL (84%)",NA,0.841479267456531,0.158520732543469,NA,45.7
"88","8",1966-10-30,"MIN","SF","SF (64%)",NA,0.364490133420746,0.635509866579254,"Under (NA)",48.1
"89","9",1966-10-30,"KC","TEN","KC (74%)",NA,0.737740859893462,0.262259140106538,NA,47.8
"90","8",1966-10-30,"PHI","WAS","PHI (56%)",NA,0.563204572115286,0.436795427884714,"Under (NA)",47.7
"91","8",1966-10-31,"ARI","CHI","ARI (65%)",NA,0.65132816788752,0.34867183211248,NA,41.6
"92","9",1966-11-06,"NYG","ARI","ARI (76%)",NA,0.243057822460254,0.756942177539746,"Under (NA)",38.5
"93","10",1966-11-06,"MIA","BUF","BUF (62%)",NA,0.375167355334995,0.624832644665005,NA,38.3
"94","9",1966-11-06,"PIT","CLE","CLE (79%)",NA,0.207047564251274,0.792952435748726,NA,41.4
"95","9",1966-11-06,"PHI","DAL","DAL (57%)",NA,0.427066442582152,0.572933557417848,"Under (NA)",41.6
"96","10",1966-11-06,"NE","DEN","NE (93%)",NA,0.928363540724466,0.0716364592755335,"Under (NA)",40.5
"97","9",1966-11-06,"CHI","DET","CHI (76%)",NA,0.755834130594262,0.244165869405738,NA,40.5
"98","10",1966-11-06,"KC","LAC","KC (63%)",NA,0.631517706836918,0.368482293163082,NA,39.7
"99","9",1966-11-06,"SF","LAR","SF (64%)",NA,0.639487382196887,0.360512617803113,"Under (NA)",40.9
"100","9",1966-11-06,"GB","MIN","GB (81%)",NA,0.808743908967595,0.191256091032405,"Under (NA)",39.5
